step,loss value
100,1.6943941
200,1.8215001
300,0.39712596
400,0.5635085
500,1.7102512
600,1.7494907
700,0.5126544
800,1.5805442
900,0.5705819
1000,0.28720832
1100,1.0576687
1200,0.43596908
1300,0.314407
1400,0.8579056
1500,0.24209352
1600,0.39518586
1700,0.81152934
1800,1.4192126
1900,0.36964977
2000,0.6953971
2100,1.0118979
2200,0.68769944
2300,1.3550833
2400,0.34566602
2500,1.2710121
2600,0.4185237
2700,1.47143
2800,0.68848604
2900,0.6247074
3000,0.078889124
3100,0.06978647
3200,0.1148953
3300,1.0052603
3400,0.031529535
3500,0.10378841
3600,0.026151313
3700,0.03074177
3800,0.40183878
3900,0.019050533
4000,0.03360279
4100,0.01007548
4200,1.8865052
4300,0.036669552
4400,0.0183345
4500,0.59805256
4600,0.043841578
4700,0.101268865
4800,1.8491745
4900,0.065522455
5000,0.03304481
5100,0.033843167
5200,0.012869457
5300,0.90020084
5400,0.0054755122
5500,0.0076942686
5600,0.91962177
5700,1.2140266
5800,0.034365818
5900,0.0076844525
6000,0.0018579725
6100,0.01119058
6200,0.001149227
6300,0.004910375
6400,0.005229561
6500,0.9155513
6600,0.5671588
6700,0.0032312162
6800,0.03041012
6900,0.069136105
7000,0.004263002
7100,0.011589473
7200,0.0039333245
7300,1.215092
7400,0.5832505
7500,1.2138367
7600,0.007354559
7700,0.004190105
7800,0.0035125553
7900,0.0049752025
8000,0.003932134
8100,0.063450895
8200,0.011682076
8300,0.0029747826
8400,0.64637864
8500,0.58315325
8600,0.030499082
8700,0.006031015
8800,0.0042159315
8900,0.02043508
9000,0.28482905
9100,0.002867647
9200,0.007968302
9300,0.062595114
9400,0.004192563
9500,0.5910735
9600,0.011479061
9700,0.0058724317
9800,1.2112694
9900,0.2829316
10000,0.6062289
10100,1.8217758
10200,1.5324105
10300,0.005912886
10400,2.754109
10500,0.013328678
10600,0.0070183324
10700,0.00498393
10800,0.0039459537
10900,0.01072406
11000,0.0068279915
11100,0.59938574
11200,0.009436818
11300,0.29522425
11400,0.0028638619
11500,0.006982837
11600,0.0056551285
11700,0.90912205
11800,1.7777605
11900,0.0022210432
12000,0.005101133
12100,0.03973337
12200,0.90785134
12300,0.285912
12400,0.5911833
12500,0.0068934094
12600,0.009765455
12700,0.013551466
12800,1.1878659
12900,0.008406468
13000,0.005168966
13100,0.004926486
13200,0.0074218027
13300,0.004424302
13400,0.0034345887
13500,0.007773768
13600,0.28151962
13700,0.0073726457
13800,0.599717
13900,0.01344526
14000,0.004548433
14100,0.28043976
14200,0.008279416
14300,0.012332083
14400,0.59792465
14500,0.90299004
14600,0.5984004
14700,0.60627043
14800,0.005655391
14900,0.0048243525
15000,0.6143403
15100,0.013444899
15200,0.0040650126
15300,0.004652667
15400,0.0040090084
15500,0.0019833252
15600,0.0026026666
15700,0.0036219107
15800,0.006927221
15900,0.002263321
16000,0.013896041
