episode,sum q_values,average q_values
217,-3561.7134,-7.1234264
218,-3424.676,-6.849353
219,-3104.27,-6.208541
220,-3149.8528,-6.299706
221,-2926.5923,-5.8531847
222,-2826.7131,-5.6534257
223,-3119.422,-6.2388444
224,-3152.244,-6.304487
225,-2654.8318,-5.3096633
226,-3176.6394,-6.353279
227,-2591.5356,-5.1830716
228,-2777.771,-5.555542
229,-3276.3984,-6.552797
230,-2969.2104,-5.93842
231,-3037.8008,-6.075601
232,-2993.8772,-5.9877543
233,-2871.0352,-5.7420683
234,-3024.5063,-6.0490127
235,-2898.727,-5.797454
236,-2959.4976,-5.9189944
237,-2995.5293,-5.991058
238,-2899.1128,-5.7982254
239,-2989.2766,-5.978553
240,-3071.9136,-6.143828
241,-2985.2568,-5.9705143
242,-3149.3816,-6.2987633
243,-3121.1702,-6.242341
244,-2837.2869,-5.6745725
245,-3065.7986,-6.1315975
246,-3117.2012,-6.234402
247,-3070.9912,-6.141982
248,-3120.283,-6.240566
249,-3036.686,-6.0733705
250,-2974.607,-5.9492135
251,-3262.0906,-6.524181
252,-3227.6284,-6.455257
253,-3048.1694,-6.096339
254,-3058.7917,-6.117583
255,-3050.7646,-6.1015296
256,-2914.3933,-5.828786
257,-2970.9482,-5.941896
258,-2839.933,-5.6798654
259,-2786.3328,-5.572665
260,-2693.0063,-5.386013
261,-2442.5168,-4.885034
262,-2873.7031,-5.7474065
263,-2535.503,-5.071006
264,-2848.0317,-5.696063
265,-2756.3215,-5.5126424
266,-2924.7866,-5.849573
267,-2664.775,-5.3295493
268,-2863.5684,-5.727138
269,-3024.413,-6.0488253
270,-2871.1667,-5.7423344
271,-2512.1836,-5.0243673
272,-2751.288,-5.5025764
273,-2852.101,-5.704202
274,-2778.7158,-5.5574317
275,-2952.3403,-5.9046803
276,-3016.335,-6.03267
277,-2823.6184,-5.6472363
278,-2659.026,-5.3180523
279,-2628.6453,-5.2572904
280,-2736.1938,-5.472388
281,-2757.4487,-5.514898
282,-3074.186,-6.1483727
283,-2825.1133,-5.6502275
284,-3110.2754,-6.22055
285,-2444.5864,-4.8891726
286,-2400.2852,-4.8005705
287,-2365.2502,-4.7305007
288,-2121.8064,-4.2436123
289,-2800.7705,-5.601541
290,-2137.1992,-4.2743983
291,-2533.594,-5.0671873
292,-2151.165,-4.302329
293,-2089.1611,-4.1783223
294,-2669.3535,-5.3387065
295,-2375.8906,-4.7517815
296,-2560.7205,-5.121441
297,-2459.5288,-4.919059
298,-2370.2148,-4.740429
299,-2008.3237,-4.0166473
300,-1984.4927,-3.9689856
301,-1970.1755,-3.940351
302,-2093.3853,-4.186771
303,-1949.8542,-3.899709
304,-1982.1345,-3.9642694
305,-1894.2513,-3.7885027
306,-1915.5189,-3.8310385
307,-1977.5437,-3.9550877
308,-2010.4053,-4.0208106
309,-1943.5334,-3.8870668
310,-1923.7012,-3.8474028
311,-1963.6969,-3.9273934
312,-1930.1599,-3.86032
313,-2288.035,-4.5760694
314,-2209.5352,-4.41907
315,-2170.1362,-4.3402715
316,-2133.9248,-4.2678494
317,-2092.3794,-4.1847587
318,-2222.238,-4.4444766
319,-2067.6309,-4.1352615
320,-2030.2112,-4.0604224
321,-1999.4901,-3.99898
322,-1953.2023,-3.9064045
323,-2057.6038,-4.1152077
324,-2078.5137,-4.1570272
325,-2216.8784,-4.4337573
326,-1979.5664,-3.959133
327,-2026.257,-4.0525136
328,-1896.3436,-3.7926872
329,-1853.951,-3.707902
330,-1869.57,-3.7391398
331,-1584.4126,-3.1688251
332,-1822.553,-3.6451058
333,-1992.8123,-3.9856253
334,-1722.6838,-3.4453676
335,-2041.1753,-4.0823503
336,-2011.9199,-4.02384
337,-2000.9176,-4.001835
338,-1698.0435,-3.3960867
339,-1802.5339,-3.605068
340,-2013.2745,-4.026549
341,-1898.0643,-3.7961285
342,-2046.1759,-4.0923514
343,-1484.7001,-2.9694002
344,-1895.2573,-3.7905147
345,-1970.4625,-3.9409254
346,-1966.9149,-3.9338295
347,-1955.556,-3.911112
348,-1892.766,-3.785532
349,-1969.9197,-3.93984
350,-1883.0465,-3.7660933
351,-1571.3984,-3.1427972
352,-1533.2112,-3.0664227
353,-1806.6697,-3.6133392
354,-1807.7583,-3.6155167
355,-1367.7332,-2.735466
356,-1654.8966,-3.309793
357,-1745.9702,-3.4919403
358,-1684.2932,-3.368586
359,-1547.1719,-3.0943434
360,-1754.4495,-3.5088987
361,-1660.0623,-3.320125
362,-1658.0317,-3.3160632
363,-1651.5715,-3.3031428
364,-1808.5227,-3.6170452
365,-1689.4314,-3.3788626
366,-1755.8995,-3.5117996
367,-1500.2161,-3.0004325
368,-1541.0815,-3.082163
369,-1954.9609,-3.9099214
370,-1482.4912,-2.9649825
371,-1723.6587,-3.4473174
372,-1647.1534,-3.2943072
373,-1903.2634,-3.8065264
374,-1583.5718,-3.1671433
375,-1941.3551,-3.8827105
376,-1877.4463,-3.754893
377,-1777.5697,-3.555139
378,-1608.5247,-3.2170498
379,-1459.4216,-2.918843
380,-1676.9117,-3.353823
381,-1580.2478,-3.1604958
382,-1874.8293,-3.7496583
383,-1435.2,-2.8704002
384,-1505.5547,-3.0111089
385,-1422.2285,-2.8444574
386,-1329.6901,-2.65938
387,-1173.1854,-2.3463707
388,-1509.4417,-3.0188837
389,-1582.0848,-3.164169
390,-1097.9604,-2.195921
391,-1537.5681,-3.0751357
392,-989.41296,-1.9788257
393,-1617.2178,-3.2344356
394,-1103.7823,-2.2075644
395,-1401.8308,-2.8036616
396,-1440.0275,-2.880055
397,-1607.2609,-3.214521
