episode,average q_values
1,1561.4576
2,1445.2107
3,899.67303
4,655.7008
5,1686.6628
6,1842.541
7,2078.7175
8,2104.7446
9,2816.0576
10,3222.3809
11,2733.5676
12,2799.2046
13,2697.9746
14,2677.8794
15,2736.6597
16,2857.1128
17,2902.4636
18,2976.419
19,2883.4724
20,2778.3833
21,2684.5635
22,2788.2622
23,2972.1973
24,3125.0596
25,3110.2593
26,3517.451
27,3029.2666
28,3282.3462
29,3184.1973
30,3298.0762
31,3063.1777
32,2912.8276
33,2914.001
34,2888.396
35,2836.2686
36,2947.8618
37,2934.4268
38,2864.8257
39,2843.7007
40,2971.654
41,2989.6118
42,3103.795
43,3084.1565
44,2900.0469
45,3319.4312
46,3138.4082
47,2873.973
48,2899.7712
49,3035.88
50,2927.7437
51,2996.0132
52,3011.483
53,3076.7239
54,2879.7043
55,3193.2988
56,3060.1138
57,3011.266
58,3127.398
59,3037.4563
60,2948.723
61,3147.164
62,2875.6255
63,3027.349
64,3037.9326
65,2910.2441
66,2869.2805
67,3131.4863
68,3321.0942
69,2873.5857
70,3104.6362
71,2901.4985
72,3045.495
73,3181.6577
74,3214.3098
75,3310.0142
76,3292.188
77,3409.644
78,3230.6497
79,3269.8206
80,3153.5352
81,3406.1545
82,3278.7363
83,3237.1133
84,3227.318
85,3411.0383
86,3346.7358
87,3109.17
88,3306.085
89,3169.435
90,3151.957
91,3164.241
92,3253.2576
93,3186.4316
94,3334.6846
95,3223.4336
96,3204.2966
97,3228.6055
98,3251.791
99,3202.2068
100,3313.2615
101,3701.0442
102,3381.3008
103,3372.088
104,3301.8203
105,3606.8418
106,3292.9614
107,3503.0854
108,3538.9873
109,3595.7422
110,3725.9639
111,3420.9766
112,3634.4292
113,3336.1934
114,3461.321
115,3437.5015
116,3541.5562
117,3433.4102
118,3632.168
119,3545.872
120,3691.844
121,3797.7656
122,3695.329
123,3660.4844
124,3683.2158
125,3671.0652
126,3913.9243
127,3440.7617
128,3538.5615
129,3626.7642
130,3692.3738
131,3986.462
132,3926.7505
133,4109.0215
134,4171.669
135,4030.6343
136,3944.2385
137,3975.0645
138,4103.1216
139,4369.245
140,4495.6953
141,4257.6533
142,4068.4543
143,4280.465
144,4410.9766
145,4687.417
146,4328.258
147,4152.6274
148,4298.1904
149,4400.6
150,4345.667
151,3721.4893
152,3838.5354
153,4120.631
154,3750.5781
155,4065.1147
156,4085.5063
157,4616.6763
158,3988.1235
159,4129.679
160,4341.2856
161,4167.38
162,3994.2131
163,4345.292
164,4425.5635
165,4509.133
166,4783.2393
167,4801.2637
168,3952.768
169,4600.7305
170,4831.1016
171,4802.5713
172,4749.287
173,4338.1187
174,4820.0723
175,3899.7646
176,4237.6953
177,4442.757
178,4623.673
179,4467.919
180,4713.0796
181,4309.869
182,4647.712
183,4637.6777
184,4560.37
185,4832.207
186,4449.7
187,4742.5464
188,4616.8555
189,4751.4795
190,4663.6553
191,5095.54
192,4909.1553
193,4464.782
194,4792.956
195,5157.1567
196,5037.62
197,4358.174
198,4765.606
199,4711.573
200,4604.751
201,4602.922
202,4371.078
203,4483.707
204,4715.1455
205,4311.2305
206,4146.3154
207,4226.1816
208,4637.9976
209,4533.0386
210,4657.052
211,4393.0513
212,4327.164
213,4391.6133
214,4679.2227
215,4870.747
216,4890.913
217,4904.636
218,4832.203
219,5479.9014
220,5191.173
221,5126.512
222,5049.509
223,5140.0234
224,5099.2334
225,5294.5513
226,5265.9214
227,5285.931
228,5329.233
229,5258.7397
230,5145.197
231,5047.1543
232,4975.9624
233,5081.6514
234,5185.3433
235,5391.366
236,5265.702
237,5361.506
238,5100.541
239,5376.871
240,5250.173
241,5627.1206
242,5342.914
243,5206.8477
244,5386.409
245,5248.791
246,5485.175
247,5657.0337
248,5381.3457
249,5474.3955
250,5243.925
251,5323.3916
252,5331.715
253,5381.4023
254,5294.4336
255,5690.37
256,5476.45
257,5486.443
258,5551.7344
259,5689.1377
260,5671.262
261,5560.092
262,5531.9834
263,5174.68
264,4939.422
265,5014.627
266,4953.207
267,4968.454
268,5103.6914
269,4750.416
270,4864.053
271,4768.6133
272,4775.624
273,4889.41
274,4928.3833
275,5130.9883
276,4984.8906
277,4996.5127
278,4885.8457
279,4835.6953
280,4849.1494
281,5103.4775
282,4688.3516
283,5034.937
284,5045.993
285,4962.2188
286,4997.329
287,5185.83
288,5067.091
289,4918.3057
290,5291.578
291,4980.4043
292,4847.529
293,4795.0728
294,4644.173
295,5195.817
296,4798.755
297,4946.1436
298,4881.8765
299,4875.7705
300,4975.861
301,4702.6377
302,4871.2617
303,4953.722
304,5368.125
305,5783.2983
306,5498.8184
307,5380.979
308,5346.83
309,5248.135
310,5728.157
311,5552.3926
312,5347.9644
313,5722.743
314,5699.3184
315,5578.3335
316,5157.2725
317,5653.9844
318,5774.753
319,6006.629
320,5894.5195
321,5925.371
322,6171.831
323,6342.9453
324,5886.6123
325,5529.848
326,5657.84
327,5751.5986
328,5420.092
329,5827.8325
330,5760.2974
331,5680.4863
332,5589.397
333,5454.7466
334,5556.5024
335,5342.675
336,5711.7344
337,5113.628
338,5144.7783
339,5365.576
340,5364.5454
341,5299.245
342,5423.177
343,5413.929
344,5536.0957
345,5606.648
346,5866.537
347,5540.5015
348,5873.8457
349,5699.193
350,5595.631
351,5739.368
352,5436.063
353,5498.987
354,5728.4165
355,5749.897
356,6155.9053
357,5533.037
358,6066.284
359,5944.871
360,5769.258
361,6021.5435
362,5725.419
363,5764.0347
364,6267.6426
365,6139.089
366,5833.1816
367,5883.424
368,6206.8584
369,6288.4297
370,5596.6475
371,6167.2886
372,5758.708
373,6196.938
374,6202.05
375,5722.12
376,6410.124
377,5899.783
378,6216.717
379,7133.0967
380,7149.2266
381,6422.581
382,6998.24
383,6790.532
384,6375.6934
385,7254.8237
386,6662.008
387,7001.9756
388,6462.3887
389,7314.0757
390,7381.1357
391,7601.965
392,7730.8965
393,7592.4062
394,7302.6807
395,7544.47
396,7365.9116
397,7040.8457
398,8275.992
399,7797.0664
400,7310.371
401,8997.771
402,7971.769
403,8344.524
404,8477.557
405,8332.47
406,8776.288
407,9014.904
408,8561.332
409,8600.314
410,8424.038
411,8079.462
412,8348.954
413,8626.094
414,8693.955
415,8885.123
416,8595.367
417,7908.617
418,8454.61
419,8612.408
420,8115.8345
421,9443.722
422,9364.743
423,8653.611
424,8734.137
425,8648.915
426,8518.52
427,8581.709
428,8456.5625
429,8073.9595
430,8338.891
431,8232.514
432,8298.44
433,8884.381
434,8902.652
435,8557.758
436,8566.219
437,8197.34
438,8544.346
439,8796.484
440,8212.617
441,8525.281
442,8581.97
443,9015.176
444,8896.338
445,9301.652
446,8937.465
447,8274.76
448,9247.814
449,9100.695
450,8757.523
451,8989.972
452,9359.213
453,8869.991
454,8567.872
455,8780.242
456,8262.514
457,9492.093
458,8573.721
459,8257.723
460,9091.691
461,9365.095
462,10015.514
463,9057.516
464,9562.115
465,9851.987
466,9120.655
467,9297.748
468,9574.576
469,9178.2295
470,10175.471
471,9880.35
472,10180.706
473,9816.82
474,10590.043
475,9669.623
476,9971.403
477,9851.713
478,9593.732
479,10367.098
480,10758.706
481,10379.68
482,11070.96
483,10991.046
484,10928.146
485,11361.743
486,10693.241
487,11087.457
488,10466.553
489,12312.32
490,11595.281
491,11712.913
492,11433.74
493,12225.624
494,11572.357
495,11933.929
496,11939.291
497,12659.125
498,11960.78
499,12492.188
500,11936.513
501,12845.483
502,12029.912
503,12145.444
504,12162.236
505,11625.354
506,12681.6455
507,12637.856
508,12214.229
509,13180.587
510,12385.137
511,12832.33
512,13109.127
513,13072.289
514,12665.482
515,12644.996
516,12709.92
517,13790.763
518,13590.631
519,12390.277
520,13754.599
521,12772.537
