episode,average q_values
522,13188.688
523,12254.284
524,13980.705
525,12972.211
526,13031.768
527,13124.701
528,12741.218
529,13249.231
530,12881.42
531,12634.963
532,12626.463
533,13187.409
534,13230.48
535,13097.502
536,12973.654
537,14332.089
538,11534.065
539,13621.429
540,12810.446
541,13304.662
542,13318.79
543,13845.9375
544,14195.547
545,13357.273
546,14879.783
547,14114.656
548,14740.336
549,13707.848
550,15329.163
551,14859.309
552,14693.091
553,14996.147
554,15176.483
555,15444.16
556,14318.562
557,15160.488
558,14890.488
559,15044.242
560,14349.864
561,15964.052
562,15170.119
563,15700.012
564,15055.173
565,15030.51
566,14982.32
567,15367.017
568,14774.053
569,15470.157
570,15069.023
571,14670.734
572,15585.607
573,15375.199
574,14599.469
575,15738.57
576,15573.841
577,15626.6
578,15063.52
579,15625.955
580,15195.288
581,16220.555
582,15635.51
583,15673.215
584,15155.586
585,15659.609
586,15449.385
587,14990.191
588,15107.557
589,15321.773
590,15276.371
591,16208.23
592,15828.86
593,15662.264
594,16064.128
595,15837.039
596,15244.9
597,15498.367
598,15826.902
599,15065.182
600,15934.185
601,16023.333
602,15402.164
603,15457.101
604,14788.642
605,15309.523
606,15189.011
607,15475.201
608,15549.664
609,15509.48
610,16068.695
611,14843.807
612,15582.909
613,15714.271
614,16469.426
615,15225.976
616,15723.723
617,16422.951
618,15717.123
619,15747.945
620,15241.389
621,16453.0
622,17126.102
623,18537.445
624,18622.328
625,17716.504
626,16913.59
627,17007.969
628,17271.816
629,16463.256
630,16008.092
631,16961.873
632,17089.39
633,17847.129
634,17485.8
635,17036.186
636,17202.777
637,16650.213
638,15943.529
639,18208.625
640,17716.582
641,17204.748
642,16492.443
643,17311.107
644,17961.443
645,18222.148
646,17775.016
647,17631.703
648,16988.82
649,17502.047
650,17837.406
651,17244.479
652,17870.096
653,18902.89
654,17739.938
655,17707.14
656,18031.035
657,18168.49
658,17773.398
659,17099.016
660,19945.385
661,15639.826
662,17158.113
663,17445.516
664,17766.746
665,18311.816
666,16720.645
667,17416.562
668,19346.521
669,19032.025
670,18864.727
671,19015.44
672,18954.744
673,19360.336
674,18453.977
675,18343.645
676,19840.035
677,19451.861
678,17993.406
679,18961.014
680,19106.023
681,19368.914
682,18608.889
683,18945.293
684,19079.566
685,18445.934
686,18989.373
687,19134.582
688,19246.062
689,18755.172
690,18360.562
691,18433.254
692,18349.326
693,17810.842
694,18915.672
695,17280.406
696,19056.91
697,17916.52
698,17387.469
699,18254.203
700,17652.527
701,18196.088
702,18296.744
703,18774.758
704,18342.635
705,18692.203
706,18246.531
707,18206.451
708,18497.467
709,18557.445
710,18419.582
711,18989.838
712,18515.912
713,18941.004
714,18448.238
715,19090.355
716,19252.734
717,19285.918
718,19006.54
719,19237.062
720,18748.914
721,20036.98
722,19703.559
723,20511.258
724,20635.852
725,19946.844
726,20304.674
727,19858.87
728,20703.922
729,19700.105
730,20040.057
731,20699.924
732,20532.297
733,19959.52
734,20590.422
735,20588.055
736,19612.414
737,20943.227
738,20385.219
739,20465.566
740,20303.488
741,20203.639
742,20713.541
743,20505.938
744,21451.633
745,21007.562
746,20953.428
747,19940.322
748,19514.246
749,20043.58
750,19850.168
751,19571.975
752,19755.578
753,19765.664
754,19545.799
755,19358.434
756,20991.246
757,21094.4
758,21366.764
759,21543.992
760,22218.113
761,21806.158
762,21888.39
763,21762.727
764,21680.67
765,21391.746
766,21783.55
767,21433.03
768,22029.145
769,21430.215
770,22550.832
771,23473.672
772,22032.352
773,22118.98
774,21731.848
775,21570.738
776,22129.887
777,22438.205
778,22456.012
779,22069.434
780,21959.803
781,22687.623
782,23321.188
783,23795.465
784,23311.271
785,23298.258
786,23705.727
787,22899.695
788,22611.95
789,22833.348
790,22981.16
791,22457.934
792,21157.234
793,21938.562
794,23316.99
795,22483.338
796,21630.432
797,21454.107
798,22440.293
799,22912.219
800,23339.926
801,24168.168
802,22910.363
803,23320.375
804,22492.535
805,22442.482
806,23579.69
807,22570.291
808,23786.758
809,23756.523
810,23523.812
811,23330.016
812,23884.965
813,23421.73
814,22850.082
815,22510.984
816,23317.883
817,24296.445
818,21967.484
819,22682.906
820,22061.781
821,22785.504
822,22617.559
823,21948.73
824,22533.516
825,22250.066
826,22556.875
827,24475.268
828,24280.875
829,24358.734
830,25201.377
831,23489.074
832,24549.893
833,23611.764
834,24243.238
835,24022.273
836,23239.777
837,22861.922
838,24090.916
839,22884.008
840,24659.895
841,22751.758
842,24359.404
843,24577.426
844,24941.723
845,24122.648
846,23565.709
847,24461.566
848,24945.877
849,22745.52
850,23387.86
851,23663.977
852,23273.605
853,23993.549
854,24765.596
855,24314.97
856,23419.006
857,24666.742
858,24276.223
859,23687.865
860,25097.564
861,23896.457
862,24780.738
863,22764.293
864,23573.547
865,24694.742
866,24284.11
867,25010.398
868,23558.314
869,25952.121
870,24440.0
871,23206.73
872,26039.676
873,26179.59
874,24480.41
875,24977.416
876,24448.176
877,24925.85
878,26775.684
879,25950.266
880,25769.719
881,25001.549
882,24560.957
883,26066.55
884,25181.637
885,25015.219
886,25226.967
887,26127.46
888,24631.44
889,25000.238
890,24581.844
891,24802.875
892,26098.26
893,25973.66
894,25473.428
895,26261.244
896,27062.727
897,25627.547
898,26528.172
899,25478.586
900,26132.182
901,26160.74
902,26543.994
903,26539.926
904,26142.06
905,26464.512
906,26945.682
907,26284.121
908,26108.027
909,26560.297
910,26710.582
911,26302.03
912,26925.168
913,26088.586
914,26478.566
915,26338.86
916,26716.943
917,27736.879
918,27021.924
919,27055.824
920,27148.914
921,26859.186
922,26572.752
923,26664.09
924,28533.676
925,28620.082
926,28150.594
927,27048.66
928,27406.15
929,27679.309
930,27742.812
931,28161.375
932,27340.393
933,27138.88
934,27905.285
935,27016.883
936,26804.432
937,26899.715
938,28374.277
939,28990.148
940,28832.604
941,29152.17
942,29108.762
943,28944.48
944,27530.48
945,26998.484
946,26814.748
947,28281.07
948,27966.219
949,27856.172
950,27336.174
951,28515.877
952,27625.887
953,27034.793
954,26712.371
955,27470.965
956,27235.797
957,27368.145
958,26888.994
959,27576.252
960,27313.895
961,27263.744
962,29014.99
963,29099.916
964,28462.457
965,30208.316
966,28945.887
967,29281.766
968,29570.941
969,29601.676
970,29256.79
971,29694.625
972,30803.965
973,30550.834
974,30540.828
975,31743.102
976,30304.44
977,32138.248
978,31342.654
979,32447.73
980,31513.537
981,31747.52
982,32049.52
983,31717.344
984,31754.281
985,31819.484
986,32231.516
987,30988.521
988,31305.54
989,31796.637
990,32883.047
991,32466.223
992,32337.164
993,31102.451
994,32286.732
995,31635.31
996,32420.64
997,31676.035
998,32420.307
999,32051.973
1000,32719.645
1001,31199.783
1002,31976.443
1003,31769.55
1004,32724.955
1005,31590.787
1006,31771.857
1007,32475.875
1008,31701.656
1009,30668.281
1010,31130.121
1011,30210.121
1012,30918.438
1013,31774.787
1014,31729.822
1015,31295.691
1016,31404.488
1017,33075.195
1018,32204.227
1019,32763.373
1020,33392.61
1021,32982.93
1022,32527.688
1023,32926.656
1024,32883.46
1025,33323.9
1026,33261.664
1027,33026.938
1028,32458.785
1029,33350.586
1030,33666.695
1031,32702.64
1032,31844.93
1033,33410.375
1034,34129.766
1035,33639.703
1036,34236.02
1037,32513.504
1038,32006.79
1039,32230.258
1040,33508.742
1041,34186.04
1042,33129.71
1043,33278.25
1044,32886.047
1045,32997.055
1046,33848.848
1047,33149.008
1048,33664.95
1049,33588.957
1050,32773.348
1051,32662.82
1052,31876.7
1053,31638.502
1054,33086.645
1055,32692.635
1056,31633.83
1057,32168.494
1058,33056.16
1059,32455.963
1060,32337.207
1061,32565.54
1062,33057.363
1063,32510.127
1064,33513.867
1065,33690.64
1066,33448.016
1067,33589.188
1068,33575.65
1069,33331.605
1070,33562.816
1071,34388.742
1072,33920.0
1073,34339.402
1074,33312.71
1075,33311.855
1076,34117.117
1077,35554.117
1078,35089.973
1079,34196.54
1080,35709.816
1081,34526.117
1082,34559.57
1083,34542.41
1084,34913.516
1085,34296.77
1086,34304.688
1087,34014.242
1088,35056.633
1089,35944.574
1090,34720.48
1091,34589.047
1092,35461.11
1093,35402.074
1094,35388.17
1095,35379.402
1096,34953.996
1097,36276.734
1098,37326.836
1099,36324.297
1100,36595.67
1101,36276.484
1102,36875.43
1103,37538.06
1104,36589.203
1105,36269.82
1106,37916.03
1107,35833.984
1108,35820.418
1109,36141.977
1110,35912.617
1111,36523.703
1112,37139.836
1113,36275.27
1114,36910.688
1115,36122.04
1116,36375.434
1117,38186.76
1118,36954.836
