step,loss value
296100,"tf.Tensor(0.0231105, shape=(), dtype=float32)"
296200,"tf.Tensor(0.0049746567, shape=(), dtype=float32)"
296300,"tf.Tensor(0.0208673, shape=(), dtype=float32)"
296400,"tf.Tensor(0.26634148, shape=(), dtype=float32)"
296500,"tf.Tensor(0.018800171, shape=(), dtype=float32)"
296600,"tf.Tensor(1.2064664, shape=(), dtype=float32)"
296700,"tf.Tensor(1.8432695, shape=(), dtype=float32)"
296800,"tf.Tensor(0.45232388, shape=(), dtype=float32)"
296900,"tf.Tensor(0.004790904, shape=(), dtype=float32)"
297000,"tf.Tensor(0.08821309, shape=(), dtype=float32)"
297100,"tf.Tensor(0.007344532, shape=(), dtype=float32)"
297200,"tf.Tensor(0.0047396286, shape=(), dtype=float32)"
297300,"tf.Tensor(0.009599315, shape=(), dtype=float32)"
297400,"tf.Tensor(0.23685461, shape=(), dtype=float32)"
297500,"tf.Tensor(1.5339097, shape=(), dtype=float32)"
297600,"tf.Tensor(0.0076424545, shape=(), dtype=float32)"
297700,"tf.Tensor(0.0053154156, shape=(), dtype=float32)"
297800,"tf.Tensor(0.9093784, shape=(), dtype=float32)"
297900,"tf.Tensor(0.121075496, shape=(), dtype=float32)"
298000,"tf.Tensor(0.0046161613, shape=(), dtype=float32)"
298100,"tf.Tensor(0.021681687, shape=(), dtype=float32)"
298200,"tf.Tensor(0.118579276, shape=(), dtype=float32)"
298300,"tf.Tensor(0.27804202, shape=(), dtype=float32)"
298400,"tf.Tensor(0.019827293, shape=(), dtype=float32)"
298500,"tf.Tensor(0.23595995, shape=(), dtype=float32)"
298600,"tf.Tensor(0.113015436, shape=(), dtype=float32)"
298700,"tf.Tensor(0.019230876, shape=(), dtype=float32)"
298800,"tf.Tensor(0.005604417, shape=(), dtype=float32)"
298900,"tf.Tensor(0.66608524, shape=(), dtype=float32)"
299000,"tf.Tensor(1.5366663, shape=(), dtype=float32)"
299100,"tf.Tensor(0.61028254, shape=(), dtype=float32)"
299200,"tf.Tensor(0.014679085, shape=(), dtype=float32)"
299300,"tf.Tensor(0.023175094, shape=(), dtype=float32)"
299400,"tf.Tensor(0.013153201, shape=(), dtype=float32)"
299500,"tf.Tensor(0.85745203, shape=(), dtype=float32)"
299600,"tf.Tensor(1.1476501, shape=(), dtype=float32)"
299700,"tf.Tensor(0.015598564, shape=(), dtype=float32)"
299800,"tf.Tensor(12.580589, shape=(), dtype=float32)"
299900,"tf.Tensor(0.0038289307, shape=(), dtype=float32)"
300000,"tf.Tensor(1.4710814, shape=(), dtype=float32)"
300100,"tf.Tensor(0.00979096, shape=(), dtype=float32)"
300200,"tf.Tensor(0.61417526, shape=(), dtype=float32)"
300300,"tf.Tensor(0.027007397, shape=(), dtype=float32)"
300400,"tf.Tensor(0.027325472, shape=(), dtype=float32)"
300500,"tf.Tensor(0.020102596, shape=(), dtype=float32)"
300600,"tf.Tensor(0.26406562, shape=(), dtype=float32)"
300700,"tf.Tensor(0.9164368, shape=(), dtype=float32)"
300800,"tf.Tensor(0.003829, shape=(), dtype=float32)"
300900,"tf.Tensor(2.40604, shape=(), dtype=float32)"
301000,"tf.Tensor(0.023655502, shape=(), dtype=float32)"
301100,"tf.Tensor(0.023242893, shape=(), dtype=float32)"
301200,"tf.Tensor(0.015061495, shape=(), dtype=float32)"
301300,"tf.Tensor(0.12213877, shape=(), dtype=float32)"
301400,"tf.Tensor(0.010671064, shape=(), dtype=float32)"
301500,"tf.Tensor(0.017113492, shape=(), dtype=float32)"
301600,"tf.Tensor(0.0069287727, shape=(), dtype=float32)"
301700,"tf.Tensor(0.04607518, shape=(), dtype=float32)"
301800,"tf.Tensor(0.03650155, shape=(), dtype=float32)"
301900,"tf.Tensor(0.003460062, shape=(), dtype=float32)"
302000,"tf.Tensor(0.0037234111, shape=(), dtype=float32)"
302100,"tf.Tensor(0.0062041944, shape=(), dtype=float32)"
302200,"tf.Tensor(0.0056781895, shape=(), dtype=float32)"
302300,"tf.Tensor(0.016143763, shape=(), dtype=float32)"
302400,"tf.Tensor(0.51958823, shape=(), dtype=float32)"
302500,"tf.Tensor(0.31854865, shape=(), dtype=float32)"
302600,"tf.Tensor(1.7019864, shape=(), dtype=float32)"
302700,"tf.Tensor(0.59441537, shape=(), dtype=float32)"
302800,"tf.Tensor(0.05341757, shape=(), dtype=float32)"
302900,"tf.Tensor(0.0023487648, shape=(), dtype=float32)"
303000,"tf.Tensor(0.005895113, shape=(), dtype=float32)"
303100,"tf.Tensor(0.08713651, shape=(), dtype=float32)"
303200,"tf.Tensor(0.014256627, shape=(), dtype=float32)"
303300,"tf.Tensor(1.8066694, shape=(), dtype=float32)"
303400,"tf.Tensor(0.0063846633, shape=(), dtype=float32)"
303500,"tf.Tensor(0.018958392, shape=(), dtype=float32)"
303600,"tf.Tensor(1.8154081, shape=(), dtype=float32)"
303700,"tf.Tensor(0.26171517, shape=(), dtype=float32)"
303800,"tf.Tensor(0.2660295, shape=(), dtype=float32)"
303900,"tf.Tensor(0.29206723, shape=(), dtype=float32)"
304000,"tf.Tensor(0.004597919, shape=(), dtype=float32)"
304100,"tf.Tensor(0.0048710397, shape=(), dtype=float32)"
304200,"tf.Tensor(0.023903511, shape=(), dtype=float32)"
304300,"tf.Tensor(0.003915742, shape=(), dtype=float32)"
304400,"tf.Tensor(1.2398864, shape=(), dtype=float32)"
304500,"tf.Tensor(0.03588783, shape=(), dtype=float32)"
304600,"tf.Tensor(0.3247655, shape=(), dtype=float32)"
304700,"tf.Tensor(2.108352, shape=(), dtype=float32)"
304800,"tf.Tensor(0.0058681685, shape=(), dtype=float32)"
304900,"tf.Tensor(0.01698254, shape=(), dtype=float32)"
305000,"tf.Tensor(0.008235784, shape=(), dtype=float32)"
305100,"tf.Tensor(1.5367595, shape=(), dtype=float32)"
305200,"tf.Tensor(0.0064607924, shape=(), dtype=float32)"
305300,"tf.Tensor(1.1612936, shape=(), dtype=float32)"
305400,"tf.Tensor(1.8416797, shape=(), dtype=float32)"
305500,"tf.Tensor(1.6106341, shape=(), dtype=float32)"
305600,"tf.Tensor(0.003526648, shape=(), dtype=float32)"
305700,"tf.Tensor(0.012528693, shape=(), dtype=float32)"
305800,"tf.Tensor(1.8690815, shape=(), dtype=float32)"
305900,"tf.Tensor(0.036516786, shape=(), dtype=float32)"
306000,"tf.Tensor(0.0065374575, shape=(), dtype=float32)"
306100,"tf.Tensor(0.0067229355, shape=(), dtype=float32)"
306200,"tf.Tensor(0.0026303981, shape=(), dtype=float32)"
306300,"tf.Tensor(1.1925213, shape=(), dtype=float32)"
306400,"tf.Tensor(0.011774868, shape=(), dtype=float32)"
306500,"tf.Tensor(0.27970695, shape=(), dtype=float32)"
306600,"tf.Tensor(0.032661717, shape=(), dtype=float32)"
306700,"tf.Tensor(2.046241, shape=(), dtype=float32)"
306800,"tf.Tensor(0.0068938658, shape=(), dtype=float32)"
306900,"tf.Tensor(0.007903948, shape=(), dtype=float32)"
307000,"tf.Tensor(0.41478908, shape=(), dtype=float32)"
307100,"tf.Tensor(0.15931384, shape=(), dtype=float32)"
307200,"tf.Tensor(0.07180235, shape=(), dtype=float32)"
307300,"tf.Tensor(0.003369417, shape=(), dtype=float32)"
307400,"tf.Tensor(0.05639647, shape=(), dtype=float32)"
307500,"tf.Tensor(0.007235702, shape=(), dtype=float32)"
307600,"tf.Tensor(0.029305914, shape=(), dtype=float32)"
307700,"tf.Tensor(0.02283243, shape=(), dtype=float32)"
307800,"tf.Tensor(0.6754625, shape=(), dtype=float32)"
307900,"tf.Tensor(1.6851333, shape=(), dtype=float32)"
308000,"tf.Tensor(0.012401069, shape=(), dtype=float32)"
308100,"tf.Tensor(0.5767664, shape=(), dtype=float32)"
308200,"tf.Tensor(0.008041812, shape=(), dtype=float32)"
308300,"tf.Tensor(0.003697309, shape=(), dtype=float32)"
308400,"tf.Tensor(0.115630955, shape=(), dtype=float32)"
308500,"tf.Tensor(0.04151442, shape=(), dtype=float32)"
308600,"tf.Tensor(0.0055110524, shape=(), dtype=float32)"
308700,"tf.Tensor(0.008716494, shape=(), dtype=float32)"
308800,"tf.Tensor(0.0050255116, shape=(), dtype=float32)"
308900,"tf.Tensor(0.28680032, shape=(), dtype=float32)"
309000,"tf.Tensor(0.0039498876, shape=(), dtype=float32)"
309100,"tf.Tensor(0.008644359, shape=(), dtype=float32)"
309200,"tf.Tensor(1.2701378, shape=(), dtype=float32)"
309300,"tf.Tensor(0.019447442, shape=(), dtype=float32)"
309400,"tf.Tensor(0.010477753, shape=(), dtype=float32)"
309500,"tf.Tensor(1.8140068, shape=(), dtype=float32)"
309600,"tf.Tensor(0.08965179, shape=(), dtype=float32)"
309700,"tf.Tensor(0.057464045, shape=(), dtype=float32)"
309800,"tf.Tensor(0.008530523, shape=(), dtype=float32)"
309900,"tf.Tensor(2.3428166, shape=(), dtype=float32)"
310000,"tf.Tensor(0.034591798, shape=(), dtype=float32)"
310100,"tf.Tensor(0.91972065, shape=(), dtype=float32)"
310200,"tf.Tensor(0.010402008, shape=(), dtype=float32)"
310300,"tf.Tensor(0.11946581, shape=(), dtype=float32)"
310400,"tf.Tensor(1.2484375, shape=(), dtype=float32)"
