episode,average q_values
1,1758.5164
2,1632.0264
3,1644.6859
4,2048.6592
5,2300.6855
6,1709.0204
7,2412.3564
8,2468.8372
9,2467.7063
10,2431.237
11,2373.0796
12,2471.2668
13,2437.3462
14,2471.8633
