100.0,30.0,10.0,20.0,30.0,40.0,10.0,100.0,70.0,20.0,10.0,50.0,30.0,40.0,40.0,70.0,25.0,40.0,30.0,120.0,15.0
489,135,60,311,71,201,31,553,281,132,53,109,65,227,110,487,237,270,196,931,52
