10.0,0.0,20.0,0.0,10.0,10.0,0.0,70.0,80.0,10.0,115.0,135.0,10.0,20.0,10.0,80.0,10.0,40.0,40.0,10.0,50.0,10.0,70.0,10.0,20.0
99,92,117,37,72,98,36,305,376,66,1214,332,49,179,93,441,82,161,270,53,327,37,351,27,87
