30.0,60.0,85.0,45.0,60.0,70.0,10.0,50.0,40.0,100.0,65.0,0.0,10.0,30.0,30.0,10.0,40.0
136,384,229,79,266,466,72,323,436,1564,278,70,77,136,128,170,187
