10.0,110.0,110.0,15.0,105.0,30.0,50.0,100.0,55.0,30.0,100.0,40.0,35.0,0.0,15.0,20.0,10.0,60.0,40.0,30.0,30.0,10.0,20.0,10.0,20.0,30.0,10.0,0.0,20.0,0.0,50.0
83,863,398,112,314,34,186,214,1107,63,2832,220,88,25,24,104,99,463,68,106,265,94,206,52,228,107,32,78,54,60,1421
