30.0,15.0,55.0,30.0,25.0,50.0,65.0,30.0,0.0,0.0,65.0,75.0,30.0,15.0,0.0,20.0,60.0,40.0,35.0,140.0,180.0,60.0,0.0,0.0,0.0,0.0,50.0,120.0,5.0,60.0,75.0,30.0,50.0,0.0
195,106,241,157,76,116,160,113,131,90,215,292,155,60,70,151,73,91,136,201,307,183,74,119,93,92,93,236,185,170,180,221,199,20
