episode,sum q_values,average q_values
1,-196.05594,-0.39211252
2,-188.54755,-0.3770952
3,-204.58731,-0.4091747
4,-178.01819,-0.3560363
5,-168.89548,-0.33779088
6,-142.29779,-0.28459537
7,-131.60689,-0.26321417
8,-139.15445,-0.2783089
9,-160.4651,-0.32093024
10,-129.44395,-0.2588879
11,-156.83844,-0.31367677
12,-176.61777,-0.35323563
13,-144.8935,-0.28978708
14,-143.19061,-0.28638127
15,-107.48663,-0.21497323
16,-115.03517,-0.23007047
17,-110.50105,-0.22100213
18,-104.30083,-0.20860165
19,-110.087364,-0.22017443
20,-124.04315,-0.24808618
21,-138.42235,-0.27684474
22,-137.40048,-0.2748009
