episode,sum q_values,average q_values
23,-12.414391,-0.024828793
24,-46.479095,-0.092958204
25,-21.90426,-0.043808524
26,-2.5036063,-0.0050072097
27,24.08984,0.04817964
28,23.623549,0.04724704
29,25.57679,0.05115352
30,3.086619,0.0061732586
31,-0.5766144,-0.0011532943
32,-0.5983038,-0.0011965988
33,0.22044802,0.00044089093
34,1.0598736,0.002119772
35,4.4052696,0.00881053
36,2.698966,0.0053979503
37,2.632575,0.005265126
38,10.70265,0.021405322
39,6.0873623,0.012174741
40,51.97211,0.10394424
41,29.22456,0.058449134
42,19.927307,0.039854646
43,20.507603,0.041015197
44,15.822567,0.03164512
45,37.832275,0.07566453
46,33.516693,0.0670334
47,44.722893,0.0894457
48,81.04941,0.16209882
49,113.950836,0.22790146
50,137.47018,0.27494016
51,147.80052,0.29560074
52,118.58185,0.23716389
53,106.54143,0.21308288
54,135.28868,0.2705777
55,132.78925,0.2655783
56,135.27647,0.27055344
57,118.333466,0.23666653
58,157.83516,0.31567076
59,136.78592,0.2735717
60,132.99997,0.26600006
61,127.83772,0.25567514
62,138.33244,0.27666473
63,149.22794,0.2984561
64,166.992,0.33398423
65,151.81947,0.30363867
66,149.81607,0.2996319
67,146.81377,0.29362744
68,146.46292,0.29292658
69,184.16037,0.36832106
70,192.5437,0.38508746
71,192.37938,0.3847586
72,170.20175,0.34040394
73,158.10571,0.31621113
74,158.9285,0.31785718
75,162.17268,0.32434502
76,174.62143,0.34924275
77,171.21056,0.34242067
78,188.27057,0.37654117
79,194.3953,0.38879028
80,296.8827,0.5937654
81,297.208,0.59441626
82,264.13214,0.52826506
83,247.22766,0.49445575
84,243.68692,0.48737383
85,223.58643,0.44717366
86,226.72186,0.45344368
87,254.35658,0.50871325
88,267.80457,0.5356081
89,344.89398,0.68978775
90,296.59393,0.5931892
91,336.2521,0.67250425
92,321.76752,0.64353526
93,319.12567,0.63825214
94,328.7243,0.65744793
95,315.90863,0.631818
96,317.8068,0.63561475
97,323.28006,0.6465606
98,385.64902,0.77129847
99,348.12866,0.69625753
100,346.6225,0.6932453
101,348.88214,0.697765
102,345.56647,0.691133
103,328.109,0.65621716
104,314.76767,0.6295354
105,308.17865,0.6163574
106,348.46643,0.6969325
107,335.21985,0.6704407
108,332.06436,0.6641288
109,343.5802,0.6871604
110,349.94562,0.6998905
111,363.0724,0.7261456
112,360.44525,0.7208911
113,377.28333,0.75456715
114,389.6157,0.7792294
115,421.70148,0.843403
116,412.02747,0.8240551
117,415.0221,0.8300447
118,427.53528,0.8550711
119,424.2235,0.8484485
120,423.08853,0.846177
121,389.02475,0.7780496
122,426.0168,0.8520352
123,399.3454,0.79869074
124,409.86823,0.8197364
125,456.6337,0.9132688
126,452.812,0.90562445
127,451.56433,0.90312856
128,420.72223,0.841445
129,472.01376,0.944027
130,484.58047,0.96916103
131,469.5102,0.9390183
132,471.3399,0.9426803
133,477.1582,0.9543151
134,462.7693,0.9255406
135,468.6725,0.93734366
136,490.6688,0.9813376
137,509.75012,1.0195017
138,417.0734,0.83414805
139,429.6014,0.8592025
140,453.71707,0.9074325
141,492.15393,0.9843093
142,488.00046,0.97600085
143,483.10504,0.96620965
144,476.67352,0.9533465
145,492.55615,0.9851141
146,531.9917,1.063983
147,522.8729,1.0457457
148,502.54462,1.0050889
149,513.43176,1.026864
150,516.29553,1.0325892
151,582.72437,1.1654502
152,557.62964,1.1152574
153,552.4303,1.1048591
154,529.5232,1.0590447
155,532.2592,1.064517
156,576.4801,1.1529609
157,586.50836,1.1730167
158,576.85596,1.1537126
159,579.0764,1.158154
160,537.1035,1.074207
161,550.61523,1.101231
162,579.18823,1.1583779
163,566.5055,1.1330101
164,568.5744,1.1371504
165,663.17114,1.3263427
166,667.6416,1.3352821
167,681.68384,1.3633679
168,660.35614,1.3207139
169,656.13306,1.3122659
170,623.25195,1.2465056
171,627.2331,1.2544634
172,600.14087,1.2002817
173,593.8535,1.1877064
174,639.60913,1.2792199
175,646.1284,1.2922568
176,642.8981,1.2857941
177,644.19617,1.2883912
178,647.61224,1.2952242
179,635.3374,1.2706734
180,683.5661,1.3671333
181,715.42236,1.430842
182,720.00665,1.4400157
183,705.25635,1.4105146
184,664.2586,1.3285189
185,658.9675,1.317935
186,662.5109,1.3250206
187,692.42456,1.3848499
188,711.862,1.423724
189,716.3418,1.4326855
190,734.27527,1.4685516
191,747.5601,1.4951179
192,764.1576,1.5283176
193,732.082,1.4641626
194,740.125,1.48025
195,753.80994,1.507621
196,768.863,1.5377268
197,818.511,1.6370218
198,848.33136,1.6966646
199,721.87823,1.4437555
200,788.0218,1.5760425
201,789.71783,1.579437
202,815.4217,1.6308436
203,843.8494,1.687699
204,847.7089,1.6954194
205,798.5807,1.5971621
206,818.7173,1.6374364
207,836.61096,1.6732179
208,841.1402,1.6822833
209,853.6083,1.7072165
210,941.42725,1.8828523
211,934.0165,1.8680269
212,924.729,1.8494569
213,907.1605,1.8143178
214,902.43024,1.8048608
215,939.07715,1.8781567
216,925.05743,1.8501148
217,931.3413,1.862686
218,935.7308,1.8714583
219,933.61865,1.8672338
220,882.8051,1.7656103
221,905.59906,1.811197
222,888.38,1.7767619
223,977.94073,1.9558777
224,936.60895,1.8732147
225,936.1223,1.8722456
226,944.1561,1.8883113
227,936.8363,1.873673
228,910.6654,1.8213277
229,942.9281,1.8858562
230,937.6197,1.8752371
231,945.0493,1.8900983
232,942.84393,1.8856872
233,963.9631,1.9279253
234,976.36523,1.9527341
235,1062.0266,2.1240535
236,1060.8115,2.121622
237,1032.9031,2.0658057
238,996.72144,1.9934392
239,982.21075,1.9644179
240,1041.1392,2.082281
241,1058.8177,2.117632
242,1058.0245,2.1160445
243,1013.48474,2.0269697
244,1057.1519,2.1143038
245,1108.768,2.217536
246,1041.689,2.0833743
247,1088.1965,2.176392
248,1091.1995,2.182403
249,1088.03,2.1760557
250,1111.8765,2.2237494
251,1106.9745,2.2139492
252,1120.9648,2.2419283
253,1102.1133,2.204229
254,1162.9595,2.325919
255,1136.8245,2.2736459
256,1137.4856,2.2749722
257,1128.1049,2.256212
258,1123.3533,2.2467058
259,1118.5907,2.237181
260,1145.3434,2.2906866
261,1105.6975,2.2113948
262,1144.013,2.2880254
263,1152.2612,2.3045201
264,1156.0557,2.31211
265,1242.1251,2.4842527
266,1233.3738,2.4667504
267,1244.0789,2.4881544
268,1206.6035,2.4132063
269,1219.6316,2.4392598
270,1272.1085,2.544214
271,1258.4441,2.5168917
272,1220.5504,2.4411008
273,1196.545,2.3930917
274,1242.863,2.485724
275,1242.5973,2.4851942
276,1207.7716,2.415541
277,1197.7651,2.395525
278,1191.8666,2.3837342
279,1252.5793,2.505156
280,1261.3077,2.5226183
281,1251.072,2.5021465
282,1234.4968,2.4689944
283,1246.8052,2.493608
284,1309.1044,2.6182094
285,1317.3768,2.63475
286,1302.2839,2.6045678
287,1294.9037,2.5898085
288,1304.4546,2.6089034
289,1335.583,2.6711688
