step,loss value
286200,0.57523906
286300,0.3746276
286400,0.38997075
286500,1.2419317
286600,0.24335995
286700,0.3238898
286800,0.2906512
286900,0.93947035
287000,0.37233576
287100,0.31345245
287200,0.34753174
287300,0.07650693
287400,1.0512557
287500,3.040617
287600,0.0093445275
287700,0.9137896
287800,0.650109
287900,0.486148
288000,1.2907571
288100,0.018346097
288200,0.025286283
288300,0.025556099
288400,1.1096495
288500,0.016179048
288600,0.05659558
288700,0.026705757
288800,1.2437191
288900,0.028920475
289000,0.3662431
289100,0.5167032
289200,0.03349964
289300,0.1334856
289400,0.013313797
289500,0.014654332
289600,0.015922112
289700,0.36204728
289800,0.016750509
289900,0.017628618
290000,1.4700685
290100,0.22621441
290200,0.005054171
290300,0.47309515
290400,0.015230005
290500,0.0051744836
290600,0.020225508
290700,0.1342751
290800,0.004876583
290900,0.0099410275
291000,0.2829944
291100,0.013780041
291200,1.253042
291300,0.024196552
291400,2.411162
291500,0.008523364
291600,0.0037458935
291700,0.12014609
291800,0.024293598
291900,0.019008124
292000,0.14104888
292100,0.0026996266
292200,0.01720718
292300,0.10023839
292400,0.93182
292500,0.13468292
292600,0.0037528062
292700,0.012052919
292800,0.47063428
292900,0.11182376
293000,0.00383691
293100,0.12161044
293200,0.0052735554
293300,0.041838165
293400,0.74225605
293500,0.2529483
293600,0.18273266
293700,3.4488125
293800,1.3341095
293900,1.5461826
294000,0.70461214
294100,0.62382025
294200,0.009026736
294300,0.91786224
294400,0.5835166
294500,1.2185155
294600,0.10555406
294700,0.005481137
294800,1.422843
294900,0.013680645
295000,1.8825155
295100,0.0469146
295200,0.022778861
295300,0.02430623
295400,0.9009606
295500,0.48921558
295600,3.3299625
295700,0.005376507
295800,0.0053945947
295900,0.0022277671
296000,0.024003733
296100,0.0231105
296200,0.0049746567
296300,0.0208673
296400,0.26634148
296500,0.018800171
296600,1.2064664
296700,1.8432695
296800,0.45232388
296900,0.004790904
297000,0.08821309
297100,0.007344532
297200,0.0047396286
297300,0.009599315
297400,0.23685461
297500,1.5339097
297600,0.0076424545
297700,0.0053154156
297800,0.9093784
297900,0.121075496
298000,0.0046161613
298100,0.021681687
298200,0.118579276
298300,0.27804202
298400,0.019827293
298500,0.23595995
298600,0.113015436
298700,0.019230876
298800,0.005604417
298900,0.66608524
299000,1.5366663
299100,0.61028254
299200,0.014679085
299300,0.023175094
299400,0.013153201
299500,0.85745203
299600,1.1476501
299700,0.015598564
299800,12.580589
299900,0.0038289307
300000,1.4710814
300100,0.00979096
300200,0.61417526
300300,0.027007397
300400,0.027325472
300500,0.020102596
300600,0.26406562
300700,0.9164368
300800,0.003829
300900,2.40604
301000,0.023655502
301100,0.023242893
301200,0.015061495
301300,0.12213877
301400,0.010671064
301500,0.017113492
301600,0.0069287727
301700,0.04607518
301800,0.03650155
301900,0.003460062
302000,0.0037234111
302100,0.0062041944
302200,0.0056781895
302300,0.016143763
302400,0.51958823
302500,0.31854865
302600,1.7019864
302700,0.59441537
302800,0.05341757
302900,0.0023487648
303000,0.005895113
303100,0.08713651
303200,0.014256627
303300,1.8066694
303400,0.0063846633
303500,0.018958392
303600,1.8154081
303700,0.26171517
303800,0.2660295
303900,0.29206723
304000,0.004597919
304100,0.0048710397
304200,0.023903511
304300,0.003915742
304400,1.2398864
304500,0.03588783
304600,0.3247655
304700,2.108352
304800,0.0058681685
304900,0.01698254
305000,0.008235784
305100,1.5367595
305200,0.0064607924
305300,1.1612936
305400,1.8416797
305500,1.6106341
305600,0.003526648
305700,0.012528693
305800,1.8690815
305900,0.036516786
306000,0.0065374575
306100,0.0067229355
306200,0.0026303981
306300,1.1925213
306400,0.011774868
306500,0.27970695
306600,0.032661717
306700,2.046241
306800,0.0068938658
306900,0.007903948
307000,0.41478908
307100,0.15931384
307200,0.07180235
307300,0.003369417
307400,0.05639647
307500,0.007235702
307600,0.029305914
307700,0.02283243
307800,0.6754625
307900,1.6851333
308000,0.012401069
308100,0.5767664
308200,0.008041812
308300,0.003697309
308400,0.115630955
308500,0.04151442
308600,0.0055110524
308700,0.008716494
308800,0.0050255116
308900,0.28680032
309000,0.0039498876
309100,0.008644359
309200,1.2701378
309300,0.019447442
309400,0.010477753
309500,1.8140068
309600,0.08965179
309700,0.057464045
309800,0.008530523
309900,2.3428166
310000,0.034591798
310100,0.91972065
310200,0.010402008
310300,0.11946581
310400,1.2484375
310500,1.4822001
310600,0.056800507
310700,0.30579653
310800,0.010087206
310900,0.005290719
311000,0.0036512194
311100,1.7924718
311200,0.6088934
311300,0.10535793
311400,0.009951943
311500,0.0043549608
311600,0.010483666
311700,0.13385376
311800,0.051302236
311900,0.0069674766
312000,0.036488093
312100,0.27897695
312200,0.0070291916
312300,0.12196793
312400,1.086562
312500,2.0218575
312600,0.56019986
312700,1.8475673
312800,0.1803798
312900,0.020401902
313000,0.27925363
313100,0.03646463
313200,0.072490826
313300,0.00803751
313400,0.17570686
313500,0.016321413
313600,0.36983797
313700,1.8086942
313800,0.025355535
313900,1.8858367
314000,0.3092507
314100,0.101412036
314200,0.11742467
314300,0.91542774
314400,0.055737823
314500,0.74919224
314600,1.2288262
314700,1.0226429
314800,0.16185635
314900,0.3263757
315000,0.17649929
315100,0.019758852
315200,0.030201305
315300,0.7835976
315400,0.20866296
315500,0.12942187
315600,0.35709727
315700,0.006338283
315800,0.013432187
315900,0.0040850863
316000,0.029843453
316100,0.019621493
316200,0.009888472
316300,0.004148658
316400,0.28318
316500,0.016306238
316600,0.08483764
316700,0.05340688
316800,0.016656576
316900,0.28447992
317000,0.008629429
317100,0.14472938
317200,1.9044291
317300,0.008344822
317400,0.03512225
317500,2.3248594
317600,0.26100156
317700,0.7018765
317800,2.0507445
317900,0.065344915
318000,2.0824764
318100,0.05072428
318200,0.44151354
318300,0.19699715
318400,0.53540033
318500,1.5427113
318600,0.95230687
318700,1.1886373
318800,0.21989919
318900,0.008750323
319000,0.16510884
319100,0.17255117
319200,0.39812255
319300,1.0306548
319400,0.9801239
319500,0.021524973
319600,0.20228153
319700,0.02509363
319800,0.067881085
319900,0.050791416
320000,3.1439638
320100,0.0072881714
320200,0.029451847
320300,0.36292645
320400,0.4719341
320500,0.017634863
320600,1.629155
320700,0.03403023
320800,0.8212732
320900,0.0871367
321000,0.03127228
321100,0.23455842
321200,0.023944512
321300,1.5391897
321400,0.6653698
321500,0.44278678
321600,0.031287078
321700,0.43420434
321800,0.28236723
321900,0.44333678
322000,1.9838511
322100,0.004183317
322200,0.07656214
322300,0.03479853
322400,1.5468925
322500,0.16008815
322600,0.0092704
322700,0.32814428
322800,1.0965061
322900,1.824424
323000,0.0030647079
323100,0.043094106
323200,0.5621488
323300,0.28608122
323400,1.6452894
323500,1.2126291
323600,0.2424419
323700,0.022977361
323800,1.2710584
323900,0.017375082
324000,0.024027513
324100,0.19288467
324200,0.27106664
324300,0.39360753
324400,0.32115725
324500,0.045711465
324600,1.4260892
324700,0.27123594
324800,1.2979357
324900,0.34843487
325000,0.75583416
325100,1.3426995
325200,0.18005367
325300,1.9845316
325400,1.0389951
325500,0.73280656
325600,0.015798269
325700,0.12242123
325800,1.5878673
325900,0.5269319
326000,0.07717001
326100,0.41221517
326200,0.12868324
326300,13.432192
326400,0.025733992
326500,0.016347997
326600,0.023703188
326700,0.19716424
326800,0.013043363
326900,0.020453693
327000,0.30448627
327100,0.31338903
327200,0.0067829182
327300,0.080858886
327400,0.007107062
327500,0.11254303
327600,0.30536413
327700,0.46657467
327800,1.0514207
327900,0.09024109
328000,0.9025538
328100,0.5454519
328200,0.0122216595
328300,0.1768257
328400,0.031143242
328500,0.31950203
328600,0.4825557
328700,1.0466155
328800,0.008245654
328900,0.018703004
329000,1.4873499
329100,0.05273734
329200,0.70299035
329300,0.11112822
329400,0.0052709375
329500,0.20633529
329600,0.3318805
329700,1.6693023
329800,0.0098913405
329900,0.028330827
330000,0.050224256
330100,2.0978873
330200,0.12873775
330300,0.0040139672
330400,0.24992599
330500,0.604003
330600,0.037479505
330700,1.3813034
330800,0.2444035
330900,0.93247926
331000,0.09949469
331100,0.018517267
331200,1.807044
331300,1.1788855
331400,0.020048063
331500,0.008707872
331600,0.018845802
331700,0.03579259
331800,0.18509464
331900,0.27979052
332000,0.15368198
332100,0.008168535
332200,0.17377628
332300,0.40980357
332400,0.016171617
332500,0.80861515
332600,0.5521624
332700,0.24396333
332800,0.13642421
332900,0.28655028
333000,0.14442082
333100,0.37347698
333200,0.16610384
333300,0.01948021
333400,0.14150073
333500,0.2615121
333600,0.13478407
333700,0.07530662
333800,0.30714515
333900,0.37999943
334000,1.5562407
334100,0.62402624
334200,0.32611188
334300,1.1244471
334400,0.011732453
334500,0.006504066
334600,0.10289059
334700,0.27566674
334800,0.10738753
334900,0.0046522776
335000,0.5724014
335100,0.13410264
335200,0.3793075
335300,0.072958
335400,2.1658669
335500,0.009711586
335600,0.41535398
335700,0.09129547
335800,1.4900216
335900,0.0688183
336000,1.3184319
336100,0.0955731
336200,1.864357
336300,0.050426133
336400,0.41536272
336500,3.4710956
336600,0.30720577
336700,0.03743417
336800,0.009408759
336900,0.015983779
337000,0.54906136
337100,0.41027248
337200,0.10085597
337300,0.13518158
337400,0.2550743
337500,1.9583254
337600,2.1334825
337700,0.011616893
337800,0.011123327
337900,0.27001086
338000,0.010517014
338100,0.0131162945
338200,0.5505576
338300,0.039856087
338400,0.064791076
338500,0.21568365
338600,0.32963282
338700,0.31095228
338800,1.4971176
338900,0.8620752
339000,1.3318944
339100,0.018266957
339200,1.9825242
339300,1.2207825
339400,0.06851533
339500,0.3452138
339600,0.29939008
339700,0.2567597
339800,0.37859353
339900,0.15879391
340000,1.5511642
340100,0.067230344
340200,0.110735156
340300,0.016525827
340400,0.006435738
340500,0.013945624
340600,0.015769003
340700,0.10226829
340800,0.013744109
340900,0.24407718
341000,1.7972317
341100,0.2116657
341200,0.0069778953
341300,0.015617176
341400,0.01575382
341500,0.24322146
341600,0.82822984
341700,0.50319684
341800,0.8262994
341900,0.00879717
342000,0.021138754
342100,0.07614979
342200,0.09152434
342300,3.5061584
342400,0.35445553
342500,0.70202345
342600,0.017259346
342700,0.15253533
342800,0.31049392
342900,0.18687604
343000,0.029477093
343100,0.1043159
343200,0.021560779
343300,1.0079255
343400,0.45159042
343500,0.18633166
343600,0.4886288
343700,0.097279176
343800,0.11976146
343900,0.108347155
