episode,sum q_values,average q_values
1,-522.1971,-1.0443943
2,-486.88156,-0.9737633
3,-543.2372,-1.0864743
4,-489.65482,-0.9793095
5,-457.95624,-0.91591245
6,-576.1288,-1.1522576
7,-495.05316,-0.99010646
8,-585.6012,-1.1712029
9,-511.7425,-1.023485
10,-523.66675,-1.0473335
11,-544.46246,-1.0889248
12,-531.2245,-1.0624491
13,-530.7069,-1.061414
14,-538.93964,-1.0778793
15,-560.79254,-1.1215851
16,-468.41968,-0.9368392
17,-462.03574,-0.9240713
18,-442.63843,-0.88527685
19,-461.1933,-0.9223866
20,-428.85065,-0.8577012
21,-429.33685,-0.8586731
22,-420.90106,-0.841802
23,-484.51672,-0.9690335
24,-477.30475,-0.9546095
25,-484.5361,-0.9690722
26,-488.76962,-0.97753924
27,-500.96576,-1.0019315
28,-453.1878,-0.9063756
29,-470.55768,-0.94111615
