episode,sum q_values,average q_values
1,-196.05594,-0.39211252
2,-177.92676,-0.35585365
3,-177.40836,-0.35481656
4,-183.81445,-0.36762872
5,-192.13321,-0.3842664
6,-202.7135,-0.40542707
7,-180.74149,-0.3614831
8,-175.77206,-0.35154414
9,-174.37817,-0.34875646
10,-160.33607,-0.32067215
11,-140.02483,-0.28004956
12,-134.53865,-0.26907745
13,-250.3742,-0.50074834
14,-118.06155,-0.23612344
15,-129.44395,-0.2588879
16,-146.7923,-0.2935844
17,-170.58856,-0.34117714
18,-180.29103,-0.36058214
19,-148.88528,-0.29777038
20,-135.7874,-0.2715748
21,-131.17036,-0.26234072
22,-137.19258,-0.27438524
23,-124.14176,-0.24828348
24,-91.173065,-0.18234625
25,-104.72319,-0.20944653
26,-107.48663,-0.21497323
27,-112.194305,-0.22438864
28,-112.33594,-0.22467189
29,-110.06026,-0.22012053
30,-122.65938,-0.2453187
31,-143.87708,-0.28775385
32,-141.22673,-0.28245345
33,-137.20605,-0.27441204
34,-139.40881,-0.27881792
