step,loss value
100,12.732267
200,0.07109919
300,0.8216275
400,0.12653287
500,1.9045378
600,0.0812843
700,0.053180452
800,0.6940246
900,0.022246378
1000,0.053989634
1100,0.08914208
1200,0.039611124
1300,0.10065337
1400,0.3668778
1500,0.081723616
1600,0.10527894
1700,1.5837715
1800,0.6919574
1900,0.12212622
2000,0.07280933
2100,0.16264896
2200,0.03960779
2300,0.16619095
2400,0.12768297
2500,0.12509361
2600,0.015836293
2700,1.5442772
2800,2.4582667
2900,0.008766629
3000,0.010227388
3100,1.2454969
3200,0.027397515
3300,0.004185483
3400,0.015797017
3500,0.025699243
3600,0.013258876
3700,1.2479439
3800,0.5865021
3900,0.019285055
4000,0.011842618
4100,1.2338876
4200,1.8089912
4300,0.0059854467
4400,0.020075772
4500,0.019196082
4600,2.7486534
4700,1.550419
4800,0.017877446
4900,0.015946176
5000,0.0106187295
5100,0.6023903
5200,0.0076853344
5300,0.017955411
5400,0.014857436
5500,1.5458493
5600,0.6151116
5700,0.0033901492
5800,0.8992978
5900,0.011738608
6000,1.2376182
6100,0.017390162
6200,0.017489081
6300,0.019753251
6400,0.011317957
6500,0.91635036
6600,0.02208881
6700,1.2471416
6800,0.01633101
6900,0.012845309
7000,0.018485699
7100,0.012488149
7200,0.5826767
7300,0.03208819
7400,0.01436498
7500,0.012843046
7600,0.0037396366
7700,0.003799405
7800,0.0046104006
7900,0.0037805098
8000,0.0059044682
8100,0.0027809362
8200,0.02372431
8300,0.9135865
8400,0.0061299843
8500,0.0054933084
8600,0.006968123
8700,0.9201442
8800,1.2307128
8900,0.5956126
9000,0.008270178
9100,1.5423566
9200,0.0062304954
9300,0.0041347425
9400,0.008237092
9500,0.59517574
9600,0.89391816
9700,0.007590767
9800,0.0046837023
9900,0.007833482
10000,0.012675715
