episode,sum q_values,average q_values
1,-398.9458,-0.7978914
2,-404.10822,-0.80821663
3,-414.82288,-0.8296456
4,-410.5327,-0.82106555
5,-407.2031,-0.81440634
6,-401.38144,-0.80276304
7,-390.20728,-0.7804144
8,-394.35986,-0.7887196
9,-373.3263,-0.7466525
10,-381.5629,-0.7631256
11,-427.93317,-0.85586655
12,-424.1858,-0.8483716
13,-327.90802,-0.65581554
14,-336.83313,-0.67366636
15,-322.66663,-0.645334
16,-342.50146,-0.6850034
17,-339.22675,-0.67845285
18,-330.69324,-0.66138697
19,-362.80157,-0.7256033
20,-351.10834,-0.7022167
21,-395.74976,-0.7914992
22,-370.05783,-0.74011594
23,-388.329,-0.7766584
24,-374.51257,-0.74902517
25,-359.8166,-0.7196333
26,-360.39035,-0.72078073
