episode,sum q_values,average q_values
1,1372.9543,2.7459092
2,1379.4011,2.7588058
3,1392.5579,2.785112
4,1420.3483,2.840697
5,1416.8977,2.833797
6,1441.9713,2.8839471
7,1439.5471,2.8790905
8,1440.5887,2.8811786
9,1401.6998,2.8033955
10,1419.3228,2.8386436
11,1441.0352,2.8820665
12,1460.5486,2.9210978
13,1433.2062,2.866408
14,1408.189,2.8163857
15,1402.971,2.8059487
16,1424.1133,2.848225
17,1459.7043,2.9194136
18,1471.6913,2.943376
19,1477.7667,2.9555361
20,1463.3391,2.92668
21,1446.6271,2.8932548
22,1452.62,2.9052377
23,1466.7898,2.9335742
24,1485.3616,2.9707232
25,1480.4623,2.960917
26,1461.6656,2.9233358
27,1446.711,2.8934214
28,1464.482,2.9289687
29,1443.052,2.8861086
30,1436.6138,2.8732295
31,1471.1885,2.9423816
32,1473.2483,2.9464927
33,1449.3083,2.8986104
34,1527.6368,3.0552788
35,1521.8723,3.0437472
36,1498.7428,2.997484
37,1462.612,2.9252217
38,1468.6306,2.937261
39,1554.5884,3.1091769
40,1521.9727,3.0439456
41,1502.038,3.004079
42,1465.0269,2.9300537
43,1476.4146,2.95283
44,1497.095,2.9941876
45,1513.7257,3.0274463
46,1488.4341,2.9768732
47,1484.1392,2.9682784
48,1492.6562,2.9853096
49,1479.5742,2.9591417
50,1465.908,2.9318125
51,1503.7097,3.007417
52,1518.5784,3.0371547
53,1499.2192,2.9984336
54,1487.6392,2.9752767
55,1515.6661,3.0313277
56,1511.0051,3.0220132
57,1515.3337,3.03067
58,1489.2606,2.9785259
59,1485.7712,2.9715464
60,1506.661,3.0133224
61,1524.2256,3.0484507
62,1502.4562,3.0049129
63,1486.6389,2.9732769
64,1522.3588,3.044713
65,1484.0847,2.96817
66,1560.4136,3.1208296
67,1490.1315,2.9802651
68,1558.8298,3.1176498
69,1507.4104,3.0148213
70,1528.008,3.0560162
71,1527.2253,3.054448
72,1535.5815,3.071153
73,1504.4163,3.00883
74,1522.856,3.0457144
75,1538.6511,3.077302
76,1551.6892,3.1033769
77,1528.9832,3.0579634
78,1518.5249,3.0370471
79,1526.5098,3.0530195
80,1518.3042,3.036602
81,1554.87,3.1097424
82,1549.0807,3.0981586
83,1538.6814,3.077363
84,1536.5597,3.07312
85,1569.0557,3.1381114
86,1574.8352,3.1496723
87,1525.4033,3.0508115
88,1538.5491,3.0771031
89,1500.1008,3.0001988
90,1565.9556,3.1319115
91,1550.1558,3.1003115
92,1602.2941,3.2045934
93,1634.2732,3.268543
94,1607.2701,3.2145422
95,1548.5332,3.0970716
96,1526.0381,3.0520787
97,1544.699,3.0893998
98,1548.3889,3.0967855
99,1568.6608,3.1373188
100,1610.9543,3.2219088
101,1584.1938,3.1683912
102,1613.7036,3.227403
103,1617.2107,3.234421
104,1605.4576,3.2109175
105,1561.4615,3.1229146
106,1600.4246,3.20084
107,1610.4524,3.220902
108,1620.3032,3.2406118
109,1616.6104,3.233215
110,1616.8035,3.2336016
111,1612.9897,3.2259824
112,1602.9009,3.2057965
113,1613.5476,3.2270927
114,1597.1216,3.1942434
115,1612.6346,3.225269
116,1576.4204,3.152846
117,1618.5876,3.237172
118,1637.2007,3.2743995
119,1651.0901,3.3021743
120,1656.5706,3.313141
121,1624.9893,3.2499838
122,1688.6583,3.377319
123,1609.6614,3.2193286
124,1647.4222,3.2948442
125,1651.3552,3.3027143
126,1660.6768,3.3213499
127,1734.3784,3.4687612
128,1758.3385,3.5166767
129,1744.385,3.4887738
130,1755.2981,3.5106044
131,1720.7031,3.4414065
132,1706.5417,3.4130857
133,1746.2789,3.4925578
134,1799.7207,3.5994413
135,1734.7921,3.4695878
136,1695.5684,3.3911405
137,1788.2101,3.57642
138,1780.896,3.5617983
139,1772.9125,3.5458224
140,1810.3882,3.6207745
141,1729.4587,3.4589236
142,1747.54,3.4950757
143,1755.008,3.510014
144,1753.9766,3.5079513
145,1736.185,3.4723706
146,1736.2322,3.472469
147,1806.7549,3.6135097
148,1770.4707,3.5409534
149,1766.7418,3.5334814
150,1764.5098,3.529022
151,1769.0698,3.538146
152,1823.7446,3.6474874
153,1828.1987,3.6563916
154,1827.0957,3.6541889
155,1802.0745,3.6041555
156,1835.0754,3.670151
157,1851.25,3.7025006
158,1831.2549,3.6625102
159,1814.8811,3.6297648
160,1820.5938,3.64119
161,1896.7722,3.7935371
162,1797.25,3.594509
163,1746.9908,3.493988
164,1771.2871,3.5425763
165,1868.687,3.7373698
166,1867.3237,3.73465
167,1860.6882,3.7213633
168,1871.5784,3.74315
169,1797.2888,3.5945737
170,1844.7344,3.6894693
171,1825.6107,3.6512294
172,1831.8954,3.6637878
173,1801.2166,3.6024327
174,1783.0665,3.5661325
175,1788.8851,3.5777774
176,1793.0015,3.5860097
177,1815.7761,3.631557
178,1882.5225,3.765045
179,1894.2489,3.7884974
180,1860.4949,3.7209897
181,1851.2125,3.7024233
182,1818.6707,3.6373432
183,1808.8894,3.6177793
184,1870.5808,3.7411616
185,1829.6254,3.6592603
186,1865.4899,3.7309866
187,1842.8892,3.685776
188,1821.6257,3.6432498
189,1853.568,3.7071376
190,1878.602,3.757191
191,1928.6365,3.8572662
192,1891.0657,3.7821307
