episode,sum q_values,average q_values
1,-16526.66,-33.053318
2,-1329.0242,-2.6580477
3,-1402.9375,-2.805874
4,-1124.8394,-2.2496784
5,-730.9469,-1.4618942
6,1884.8701,3.7697408
7,855.4004,1.7108008
8,-1318.072,-2.636145
9,-1284.8519,-2.5697038
10,-1752.1489,-3.5042968
11,-748.41174,-1.4968238
12,-1398.1428,-2.7962854
13,-553.9896,-1.1079793
14,-687.67224,-1.3753446
15,-1344.1683,-2.6883366
16,-1196.1648,-2.3923295
17,-991.11536,-1.9822305
18,-1107.9185,-2.215837
19,-1600.9741,-3.2019482
20,-1344.1409,-2.6882815
21,-980.90594,-1.9618118
22,-818.6511,-1.6373024
23,-854.3512,-1.7087027
24,-1273.1663,-2.5463326
25,-1390.4792,-2.7809584
26,-1203.8853,-2.4077704
27,-1002.3866,-2.004773
28,-771.7607,-1.5435213
29,-863.43115,-1.7268623
30,-848.20044,-1.6964009
31,-862.99677,-1.7259936
32,-723.9767,-1.4479536
33,-852.4082,-1.7048161
34,-988.31213,-1.9766244
35,-1230.2731,-2.4605465
36,-540.7136,-1.081427
37,-707.9589,-1.415918
38,-490.867,-0.98173404
39,-310.25006,-0.62050015
40,-388.6979,-0.77739584
41,-343.5059,-0.6870117
42,-336.38297,-0.672766
43,-357.85944,-0.71571887
44,-304.47876,-0.6089576
45,-339.29285,-0.6785857
46,-381.28085,-0.76256174
47,-354.49475,-0.7089896
