episode,sum q_values,average q_values
1,-2051.2705,-4.102541
2,1771.7681,3.5435362
3,2182.2854,4.3645706
4,1270.875,2.541751
5,2352.0688,4.704138
6,979.0496,1.9580989
7,717.86926,1.4357382
8,629.2398,1.2584797
9,796.1755,1.592351
10,1585.1409,3.1702816
11,1689.4574,3.3789148
12,3455.3184,6.910636
13,4036.7212,8.073443
14,4040.0422,8.080083
15,2392.4893,4.7849784
16,3245.6685,6.491336
17,1994.2976,3.988595
18,2114.456,4.2289114
19,2104.45,4.2088995
20,992.62646,1.9852527
21,939.1048,1.8782092
22,1107.6565,2.2153127
23,1298.6292,2.5972583
24,10842.857,21.685717
25,16024.003,32.048008
26,2368.7256,4.737451
27,2439.5823,4.8791647
28,9218.602,18.437199
29,8065.7363,16.131475
30,4429.336,8.858672
31,7764.924,15.529848
32,4237.98,8.475961
33,11990.344,23.980688
34,6656.0806,13.312163
35,6326.5894,12.653177
36,12433.788,24.86757
37,6257.177,12.514356
38,7295.7944,14.59159
39,6027.3687,12.054738
40,8190.0186,16.38004
41,12480.664,24.961329
42,9655.193,19.310387
43,7108.158,14.216318
44,7267.56,14.535122
45,8123.5293,16.247057
46,5491.1006,10.9822035
47,6525.343,13.050687
48,5691.9443,11.383886
49,3967.8271,7.935655
50,2642.0818,5.2841635
51,3658.5889,7.317178
52,1004.4023,2.0088048
53,2277.5771,4.5551543
54,2844.0059,5.6880116
55,1942.4476,3.884895
56,2899.062,5.7981243
57,3229.0957,6.4581904
58,2476.31,4.95262
59,2749.4731,5.498946
60,3381.5737,6.7631474
61,3495.5125,6.9910264
62,2860.4302,5.72086
63,1998.73,3.99746
64,2288.6562,4.5773115
65,2321.1455,4.642292
66,2429.2922,4.858584
67,1917.5317,3.8350635
68,1710.519,3.4210382
69,1709.1953,3.4183912
70,1916.0781,3.8321571
71,2191.545,4.38309
72,2137.0764,4.274153
73,2279.3882,4.5587773
74,2047.1782,4.094356
75,2003.2654,4.0065303
76,1967.6255,3.9352515
77,1893.0728,3.7861462
78,2163.9834,4.3279667
79,2240.2534,4.480507
80,2036.77,4.0735397
81,2145.6565,4.2913127
82,2048.897,4.097795
83,2120.4026,4.2408056
84,2026.3301,4.0526595
85,2137.9077,4.275816
86,2163.7126,4.327426
87,2003.0127,4.0060253
88,1975.7019,3.9514034
89,2301.8984,4.603797
90,2010.2458,4.020492
91,2205.064,4.4101286
92,2236.5532,4.473107
93,2197.9048,4.3958087
94,1901.7126,3.8034258
95,2112.3462,4.2246933
96,2038.8682,4.077736
97,2187.8984,4.3757977
98,2180.3945,4.3607883
99,2103.143,4.206285
100,1963.2749,3.9265504
101,1920.9762,3.8419523
102,1845.9656,3.6919312
103,1856.2919,3.7125845
104,1964.264,3.9285288
105,1959.3054,3.9186108
106,1899.5752,3.7991505
107,1953.1459,3.9062917
108,1918.6218,3.8372436
109,2106.8765,4.2137527
110,1870.8284,3.7416568
111,1979.2642,3.9585288
112,2051.5083,4.1030154
113,2081.133,4.162266
114,1863.8452,3.7276905
115,1890.0638,3.780128
116,1921.6509,3.8433018
117,1979.3728,3.9587462
118,1979.591,3.959182
119,2108.1929,4.2163863
120,2123.2083,4.2464166
121,2040.1318,4.0802636
122,2099.8916,4.1997833
123,2072.4717,4.1449423
124,2027.0785,4.0541563
125,2079.7769,4.1595535
126,2006.0645,4.0121293
127,2020.6611,4.041322
128,1985.0315,3.970063
129,1940.942,3.8818846
130,2010.8542,4.021707
131,1996.0344,3.9920685
132,1920.8751,3.84175
133,1977.0209,3.9540412
134,2044.2958,4.0885916
135,2040.2913,4.0805826
136,1897.0857,3.7941713
137,2141.865,4.2837296
138,1950.2833,3.900566
139,1921.0425,3.8420851
140,1846.1792,3.6923585
141,2059.4385,4.118877
142,2020.9653,4.04193
143,1884.8417,3.7696836
144,1980.7795,3.9615588
145,1950.4762,3.9009528
146,1920.2043,3.8404086
147,1949.3314,3.8986623
148,1981.4797,3.9629598
149,1913.9258,3.827852
150,1877.6704,3.7553408
151,1837.7098,3.675419
152,1981.7549,3.9635096
153,1919.552,3.839105
154,1869.4196,3.7388391
155,1830.1466,3.660294
156,1896.1879,3.7923763
157,1835.2041,3.6704078
158,1943.2925,3.886585
159,1996.6296,3.9932587
160,1844.8439,3.6896873
161,1963.1803,3.9263608
162,1974.798,3.9495947
163,1807.0747,3.6141486
164,1855.7351,3.71147
165,1866.1733,3.7323472
166,1956.0735,3.9121475
167,1973.7334,3.947467
168,2074.7651,4.1495304
169,1672.439,3.3448777
170,1789.8972,3.579795
171,1910.4375,3.820875
172,1960.0571,3.9201143
173,1937.0396,3.8740802
174,1874.1057,3.7482116
175,1850.1072,3.7002144
176,1857.0635,3.714127
177,2248.9553,4.4979095
178,2124.367,4.248735
179,2195.3306,4.390662
180,2136.5693,4.27314
181,2172.5342,4.3450675
182,2114.2173,4.228435
183,2107.583,4.215166
184,2303.0117,4.606023
185,1965.3125,3.930625
186,2055.18,4.1103597
187,2034.107,4.068215
188,2057.0566,4.1141124
189,2044.7405,4.0894804
190,2115.7888,4.231577
191,2076.9917,4.1539836
192,2174.6975,4.349395
193,2410.4873,4.8209724
194,2213.9634,4.4279256
195,2158.7158,4.317432
196,2181.6677,4.363337
197,2322.83,4.645659
198,2212.3066,4.4246135
199,2305.4463,4.610893
200,2374.6543,4.7493086
201,2334.3994,4.6687994
202,2341.9468,4.683894
203,2080.1206,4.160241
204,2150.5054,4.3010106
205,2267.0942,4.5341883
206,2150.0232,4.300046
207,2129.08,4.258161
208,2162.3955,4.3247905
209,2191.2056,4.382411
210,2383.2957,4.766592
211,2236.4854,4.4729705
212,2199.8938,4.399787
213,2378.0278,4.756056
214,2329.8306,4.659661
215,2221.3242,4.4426475
216,2374.2095,4.7484207
217,2337.0784,4.674157
218,2240.4658,4.4809318
219,2342.338,4.6846757
220,2485.3748,4.97075
221,2551.9067,5.103814
222,2219.6035,4.439207
223,2118.478,4.236957
224,2310.4658,4.6209316
225,2228.482,4.456964
226,2334.278,4.6685567
227,2132.8062,4.2656126
228,2368.2527,4.736506
229,2129.2842,4.2585692
230,2220.1162,4.4402323
231,2208.2131,4.416426
232,2095.8835,4.1917677
233,2118.567,4.2371345
234,2254.1577,4.508317
235,2390.3362,4.7806726
236,2378.402,4.7568035
237,2365.8145,4.731629
238,2286.1018,4.5722027
239,2244.3013,4.4886017
240,2300.284,4.6005683
241,2177.0444,4.354088
242,2298.501,4.597003
243,2280.598,4.5611954
244,2281.8086,4.563618
245,2189.0828,4.3781652
246,2341.1113,4.6822224
247,2210.2886,4.4205766
248,2300.6892,4.601379
249,2132.23,4.26446
250,2315.6528,4.631305
251,2333.6685,4.667337
252,2214.2456,4.42849
253,2227.8193,4.455639
254,2257.7605,4.5155206
255,2213.9004,4.4278
256,2219.9016,4.4398036
257,2196.105,4.39221
258,2229.5098,4.4590197
259,2155.1875,4.3103743
260,2221.418,4.4428353
261,2320.6577,4.6413155
262,2289.5593,4.5791183
263,2362.1885,4.7243757
264,2266.689,4.533379
265,2356.169,4.712338
266,2321.732,4.643465
267,2179.4834,4.358966
268,2479.3604,4.958721
269,2401.7869,4.8035727
270,2213.7363,4.427472
271,2358.571,4.7171416
272,2293.2095,4.586418
273,2303.4897,4.6069803
274,2166.0886,4.332177
275,2281.4336,4.562866
276,2141.4946,4.28299
277,2432.948,4.8658967
278,2491.6274,4.983255
279,2297.8242,4.5956483
280,2292.8665,4.585733
281,2504.1758,5.0083513
282,2452.3691,4.9047384
283,2429.1548,4.858309
284,2358.8613,4.717723
285,2455.338,4.910676
286,2466.739,4.9334784
287,2388.2947,4.77659
288,2436.812,4.873624
289,2362.3079,4.724616
290,2647.6877,5.295376
291,2600.0283,5.200056
292,2266.608,4.533217
293,2424.9683,4.8499365
294,2425.3535,4.850708
295,2498.7568,4.997514
296,2653.1924,5.3063846
297,2438.7017,4.877404
298,2425.562,4.851125
299,2418.3057,4.8366117
300,2481.0051,4.96201
301,2591.7588,5.1835184
302,2538.3943,5.0767884
303,2994.025,5.988051
304,2675.2625,5.3505244
305,2541.2139,5.082429
306,2441.691,4.8833814
307,2476.8643,4.9537287
308,2632.6958,5.265393
309,2540.0298,5.0800595
310,2715.4844,5.4309688
311,2384.0715,4.7681427
312,2729.7122,5.459424
313,2700.274,5.400547
314,2558.4763,5.116952
315,2676.7534,5.353507
316,2558.7734,5.117547
317,2775.9963,5.551993
318,2543.788,5.087575
319,3116.238,6.2324767
320,2420.73,4.8414607
321,2378.4548,4.7569103
322,2531.5479,5.0630956
323,2696.9795,5.393959
324,2717.6821,5.4353647
325,2519.3647,5.0387287
326,2600.3955,5.2007914
327,2885.0024,5.7700033
328,2872.547,5.745095
329,2812.3682,5.6247363
330,2804.7976,5.609595
331,2411.079,4.8221583
332,2451.7227,4.9034452
333,2687.4165,5.374833
334,2741.7349,5.48347
335,2631.1416,5.2622833
336,2694.788,5.389576
337,2804.4722,5.6089444
338,2677.3933,5.354786
339,2630.0835,5.260166
340,2779.5718,5.5591445
341,2708.5627,5.417126
342,2899.2285,5.798457
343,2765.0225,5.530045
344,2663.9807,5.327961
345,2829.2424,5.658484
346,2808.4634,5.6169276
347,2815.5173,5.6310353
348,2944.625,5.88925
349,3062.4312,6.1248627
350,2686.4165,5.3728323
351,2919.572,5.839144
352,2930.345,5.860689
353,2940.3306,5.8806615
354,3031.6807,6.063362
355,2972.1475,5.944294
356,2878.924,5.7578483
357,3184.6323,6.3692646
358,2899.4114,5.7988234
359,3004.3813,6.008762
360,2980.9517,5.9619055
361,3202.7827,6.4055653
362,3245.7788,6.4915576
363,2895.4233,5.790847
364,2838.6323,5.677264
365,2706.1772,5.4123545
366,2623.3293,5.2466583
367,3010.6992,6.021399
368,3235.8398,6.4716797
369,3024.656,6.0493116
370,3160.151,6.320302
371,3308.9087,6.6178184
372,3189.1768,6.3783536
373,3480.4585,6.960916
374,3077.4033,6.1548057
375,3201.412,6.4028244
376,3278.4263,6.5568523
377,3144.379,6.288757
378,4011.0793,8.022159
379,5178.821,10.357639
380,4914.6753,9.8293495
381,3789.401,7.5788007
382,3398.853,6.797707
383,3228.113,6.4562273
384,3283.7466,6.567493
385,3262.225,6.5244493
386,3216.0195,6.4320393
387,3456.8245,6.9136496
388,3502.5142,7.0050297
389,3430.8223,6.8616447
390,3413.231,6.826462
391,3696.3945,7.392789
392,3579.289,7.158578
393,3729.818,7.459636
394,3734.4092,7.4688177
395,3721.984,7.443969
396,3967.9897,7.9359794
397,3796.5796,7.5931582
398,3863.9058,7.7278113
399,3795.7761,7.5915523
400,3855.5503,7.7111015
401,3910.8018,7.8216047
402,4070.9324,8.141864
403,3907.2446,7.8144917
404,3799.5303,7.5990596
405,3752.9766,7.505954
406,3663.775,7.32755
407,3827.5554,7.655111
408,3871.6228,7.7432466
409,3811.0625,7.622124
410,4083.942,8.167885
411,4152.496,8.304992
