step,loss value
390000,1.5509229
390100,0.010664375
390200,0.010384557
390300,0.53813916
390400,0.03473774
390500,0.20665665
390600,0.014650409
390700,0.046940073
390800,0.9165333
390900,0.06722672
391000,0.005007073
391100,0.013752472
391200,0.082177535
391300,0.57581013
391400,0.021415321
391500,0.012601955
391600,0.20144063
391700,0.043857705
391800,0.027692262
391900,0.022572724
392000,0.0037131882
392100,0.032713465
392200,0.0061271507
392300,0.9080146
392400,0.22393411
392500,0.34269285
392600,0.027171122
392700,0.024255795
392800,0.9188709
392900,0.04345467
393000,0.011444541
393100,0.009532543
393200,0.017791726
393300,0.25782946
393400,0.012975214
393500,0.02595277
393600,0.15736097
393700,0.033698387
393800,0.010857513
393900,0.020994471
394000,0.022563322
394100,0.008320598
394200,0.040728386
394300,1.2556392
394400,0.007705908
394500,0.23345982
394600,0.014264519
394700,0.023563111
394800,0.027001595
394900,0.048145227
395000,0.05222944
395100,0.012626401
395200,0.006197896
395300,0.5805913
395400,0.050388634
395500,0.032456502
395600,1.249589
395700,0.010014152
395800,0.5731573
395900,0.0050615584
396000,0.0138636585
396100,0.038927607
396200,0.010219399
396300,0.020211576
396400,0.90210694
396500,0.012511276
396600,0.0067386767
396700,0.0105347745
396800,0.013014006
396900,0.002427458
397000,0.9250024
397100,0.017433265
397200,0.008279904
397300,0.0055571906
397400,0.049280666
397500,0.012511844
397600,0.0125596095
397700,0.016583212
397800,0.019319283
397900,0.037211373
398000,0.09132827
398100,0.0059162965
398200,0.019729275
398300,0.010535771
398400,0.006882797
398500,0.01852084
398600,0.0076289107
398700,0.0066017397
398800,0.012434458
398900,0.24682948
399000,0.02265352
399100,0.8954537
399200,0.082671106
399300,0.5191979
399400,0.5053867
399500,0.19272955
399600,0.010767937
399700,0.44002515
399800,0.0056111673
399900,0.057993963
400000,0.014917163
400100,0.005841952
400200,0.007661818
400300,0.05852615
400400,0.14517346
400500,0.0068279575
400600,0.021671107
400700,0.010146959
400800,0.010237257
400900,0.0829028
401000,0.008243643
401100,0.11178492
401200,1.2620908
401300,0.06906794
401400,0.91425776
401500,0.06874225
401600,0.01447154
401700,0.008025902
401800,0.009859163
401900,0.13423757
402000,0.12927534
402100,0.011936453
402200,0.0044684033
402300,0.10291296
402400,0.025230723
402500,0.009750466
402600,0.8869258
402700,0.010095978
402800,0.007070622
402900,0.012124311
403000,0.8120205
403100,0.0057075107
403200,0.01595689
403300,0.014598521
403400,0.5553272
403500,0.09066625
403600,0.03395354
403700,0.013884538
403800,0.009580921
403900,0.0179515
404000,0.014359122
404100,0.58990854
404200,0.114806026
404300,0.02478565
404400,0.012938419
404500,0.32592818
404600,0.010508787
404700,0.01042833
404800,0.004509448
404900,0.043007143
405000,0.010115096
405100,0.017235111
405200,0.07213467
405300,0.5690644
405400,0.0073474925
405500,0.88488233
405600,0.41963655
405700,0.038943607
405800,0.01875472
405900,0.013543143
406000,0.6773524
406100,0.008660225
406200,0.010959428
406300,0.05368894
406400,0.046164516
406500,0.022002943
406600,0.0073042344
406700,0.00553733
406800,0.003272417
406900,0.5045982
407000,0.03413101
407100,0.0053465916
407200,0.008247631
407300,0.10270815
407400,0.0048565045
407500,0.045761663
407600,0.008683071
407700,0.005484731
407800,0.006083793
407900,0.0056798896
408000,0.07562603
408100,0.011903646
408200,0.015763698
408300,0.0070072417
408400,0.006208253
408500,0.005304182
408600,0.1478395
408700,0.028684918
408800,0.0077615106
408900,0.011958128
409000,0.05182699
409100,0.01732987
409200,0.014310496
409300,0.8797668
409400,0.1894816
409500,0.016892327
409600,0.03560385
409700,0.00840158
409800,0.0031679221
409900,0.015043563
410000,0.015343787
410100,0.008400802
410200,0.4015274
410300,0.009845033
410400,0.028344195
410500,0.010890624
410600,0.01951874
410700,0.018302089
410800,0.54375714
410900,0.015767744
411000,0.039214253
411100,0.104573004
411200,0.58960116
411300,0.06291161
411400,0.007891448
411500,0.8186628
411600,1.329424
411700,0.015040169
411800,0.3859085
411900,0.0063743806
412000,0.1488555
412100,0.97336465
412200,0.004083945
412300,0.0141338585
412400,0.008985711
412500,0.017471917
412600,0.024110608
412700,0.004653983
412800,0.0049930755
412900,0.109551854
413000,0.008288876
413100,0.5436226
413200,0.042282797
413300,0.16034842
413400,0.010146476
413500,0.012999907
413600,0.013737906
413700,0.011546334
413800,0.0054514566
413900,0.14703384
414000,0.006567331
414100,0.0065975403
414200,0.0017843307
414300,0.009654515
414400,0.10154979
414500,0.005797075
414600,0.15651487
414700,0.031158907
414800,0.008282475
414900,0.46339202
415000,0.0027209485
415100,0.13241278
415200,0.32155418
415300,0.009482165
415400,0.005101351
415500,0.21561074
415600,0.02757704
415700,0.0035769797
415800,0.005405196
415900,0.0032304584
416000,0.017089248
416100,0.8330089
416200,0.0035002402
416300,0.1130292
416400,0.009931339
416500,0.00683974
416600,0.0064846175
416700,0.0012085282
416800,0.0029924326
416900,0.003450966
417000,0.0035539554
417100,0.026160616
417200,0.0036839321
417300,0.010439128
417400,0.23385775
417500,0.016807422
417600,0.005294092
417700,0.005075082
417800,0.32759425
417900,0.0060865656
